Local,Nome,Logradouro,Latitude,Longitude
BIBLIOTECA,Coney Island,Mermaid Avenue,4.06E+20,-739860619926265
BIBLIOTECA,Cortelyou,Cortelyou Road,4.06E+21,-7.40E+19
BIBLIOTECA,Crown Heights,New York Avenue,4.07E+21,-739481022990789
BIBLIOTECA,Cypress Hills,Sutter Avenue,4.07E+20,-738740348780572
BIBLIOTECA,DeKalb,Bushwick Avenue,4.07E+21,-7.39E+20
BIBLIOTECA,Dyker,13th Avenue,4.06E+21,-740119885202191
BIBLIOTECA,East Flatbush,Church Avenue,4.07E+21,-7.39E+20
BIBLIOTECA,Eastern Parkway,Eastern Parkway,4.07E+20,-7.39E+20
BIBLIOTECA,Flatbush,Linden Boulevard,4.07E+21,-7.40E+20
BIBLIOTECA,Flatlands,Flatbush Avenue,4.06E+20,-7.39E+20
BIBLIOTECA,Fort Hamilton,Fourth Avenue,4.06E+20,-740313694054087
BIBLIOTECA,Gerritsen Beach,Gerritsen Avenue,4.06E+20,-739239376273276
BIBLIOTECA,Gravesend,Avenue X,4.06E+21,-739718084463328
BIBLIOTECA,Greenpoint,Norman Avenue,4.07E+19,-7.40E+20
BIBLIOTECA,Highlawn,West 13th Street,4.06E+21,-7.40E+20
BIBLIOTECA,Homecrest,Coney Island Avenue,405952368631223,-7.40E+20
BIBLIOTECA,Jamaica Bay,Seaview Avenue,4.06E+20,-7.39E+20
BIBLIOTECA,Kensington,18th Avenue,4.06E+20,-7.40E+20
BIBLIOTECA,Kings Bay,Nostrand Avenue,4.06E+21,-7.39E+20
BIBLIOTECA,Kings Highway,Ocean Avenue,4.06E+21,-7.40E+20
BIBLIOTECA,Leonard,Devoe Street,4.07E+20,-7.39E+20
BIBLIOTECA,Macon,Lewis Avenue,4.07E+19,-7.39E+20
BIBLIOTECA,Mapleton,60th Street,4.06E+20,-73989440154021
BIBLIOTECA,Marcy,DeKalb Avenue,4.07E+20,-7.40E+20
BIBLIOTECA,McKinley Park,Fort Hamilton Parkway,4.06E+20,-7.40E+20
BIBLIOTECA,Midwood,East 16th Street,4.06E+20,-7.40E+20
BIBLIOTECA,Mill Basin,Ralph Avenue,4.06E+20,-7.39E+19
BIBLIOTECA,New Lots,New Lots Avenue,4.07E+21,-7.39E+20
BIBLIOTECA,Pacific,Fourth Avenue,4.07E+20,-7.40E+20
BIBLIOTECA,Paerdegat,East 59th Street,4.06E+20,-7.39E+18
BIBLIOTECA,Park Slope,6th Avenue,4.07E+20,-7.40E+20
BIBLIOTECA,Red Hook,Wolcott Street,406752407736475,-740103430690854
BIBLIOTECA,Rugby,Utica Avenue,4.06E+20,-7.39E+20
BIBLIOTECA,Ryder,23rd Avenue,4.06E+20,-7.40E+19
BIBLIOTECA,Saratoga,Thomas S. Boyland Street,4.07E+20,-7.39E+20
BIBLIOTECA,Sheepshead Bay,East 14th Street,4.06E+19,-7.40E+20
BIBLIOTECA,Spring Creek,Flatlands Avenue,4.07E+21,-7.39E+20
BIBLIOTECA,Stone Avenue,Mother Gaston Boulevard,4.07E+20,-7.39E+20
BIBLIOTECA,Sunset Park,4th Avenue,4.06E+20,-74013630001215
BIBLIOTECA,Ulmer Park,Bath Avenue,4.06E+20,-7.40E+20
BIBLIOTECA,Walt Whitman,Saint Edwards Street,4.07E+20,-7.40E+20
BIBLIOTECA,Washington Irving,Irving Avenue,4.07E+21,-7.39E+20
BIBLIOTECA,Williamsburgh,Division Avenue,4.07E+20,-739575546134494
BIBLIOTECA,Windsor Terrace,East 5th Street,4.06E+20,-739767587688368
BIBLIOTECA,Arverne,Beach 54 Street,4.06E+20,-7.38E+19
BIBLIOTECA,Astoria,Astoria Boulevard,40.8E+19,-7.39E+20
BIBLIOTECA,Auburndale,Francis Lewis Boulevard,4.08E+21,-7.38E+20
BIBLIOTECA,Baisley Park,Sutphin Boulevard,4.07E+20,-7.38E+20
BIBLIOTECA,Bay Terrace,Bell Boulevard,40.8E+19,-7.38E+19
BIBLIOTECA,Bayside,Northern Boulevard,40.8E+19,-7.38E+20
BIBLIOTECA,Bellerose,Hillside Avenue,40.7351605518022,-7.37E+20
BIBLIOTECA,Briarwood,Main Street,4.07E+18,-7.38E+20
BIBLIOTECA,Broad Channel,Cross Bay Boulevard,4.06E+21,-7.38E+20
BIBLIOTECA,Broadway,Broadway,40.8E+19,-7.39E+20
BIBLIOTECA,Cambria Heights,Linden Boulevard,4.07E+21,-73741163136486
BIBLIOTECA,Queens Central Library,Merrick Boulevard,4.07E+20,-737946780399278
BIBLIOTECA,Corona,104 Street,40.7508940803989,-7.39E+19
BIBLIOTECA,Court Square,Jackson Avenue,4.07E+20,-7.39E+20
BIBLIOTECA,Douglaston/Little Neck,Northern Boulevard,40.768225432005,-7.37E+20
BIBLIOTECA,East Elmhurst,Astoria Boulevard,40.8E+19,-7.39E+20
BIBLIOTECA,East Flushing,Northern Boulevard,4.08E+21,-7.38E+20
BIBLIOTECA,Elmhurst (Temporary location due to renovations,51 Avenue,4.07E+21,-7.39E+19
BIBLIOTECA,Far Rockaway,Central Avenue,4.06E+20,-7.38E+20
BIBLIOTECA,Flushing,Main Street,40.8E+19,-7.38E+20
BIBLIOTECA,Forest Hills,71 Avenue,4.07E+21,-7.38E+19
BIBLIOTECA,Fresh Meadows,Horace Harding Expressway,4.07E+20,-7.38E+20
BIBLIOTECA,Glen Oaks,Union Turnpike,4.07E+21,-7.37E+20
BIBLIOTECA,Glendale,73 Place,4.07E+21,-7.39E+20
BIBLIOTECA,Hillcrest,Union Turnpike,4.07E+20,-7.38E+20
BIBLIOTECA,Hollis,Hillside Avenue,4.07E+21,-7.38E+20
BIBLIOTECA,Howard Beach,156 Avenue,4.07E+20,-7.38E+20
BIBLIOTECA,Jackson Heights,81 Street,40.8E+19,-7.39E+20
BIBLIOTECA,Kew Gardens Hills (Temporary location,Main Street,4.07E+20,-7.38E+20
BIBLIOTECA,Langston Hughes,Northern Boulevard,4.08E+21,-7.39E+20
BIBLIOTECA,Laurelton,225 Street,4.07E+19,-7.37E+20
BIBLIOTECA,Lefferts,Lefferts Boulevard,4.07E+20,-7.38E+20
BIBLIOTECA,Lefrak City,57 Avenue,4.07E+21,-7.39E+20
BIBLIOTECA,Long Island City,21 Street,40.8E+19,-7.39E+20
BIBLIOTECA,Maspeth,Grand Avenue,4.07E+19,-7.39E+20
BIBLIOTECA,McGoldrick,Roosevelt Avenue,40.8E+19,-738098334843409
BIBLIOTECA,Middle Village,Metropolitan Avenue,4.07E+20,-7.39E+20
BIBLIOTECA,Mitchell-Linden,Union Street,40.8E+19,-7.38E+20
BIBLIOTECA,North Forest Park,Metropolitan Avenue,4.07E+21,-7.39E+20
BIBLIOTECA,North Hills,Marathon Parkway,40.8E+19,-7.37E+20
BIBLIOTECA,Peninsula,Rockaway Beach Boulevard,4.06E+20,-7.38E+20
BIBLIOTECA,Pomonok,Jewel Avenue,4.07E+21,-7.38E+20
BIBLIOTECA,Poppenhusen,14 Avenue,4.08E+21,-7.38E+19
BIBLIOTECA,Queens Library for Teens,Cornaga Avenue,4.06E+20,-7.38E+20
BIBLIOTECA,Queens Village,217 Street,40.7198883271777,-7.37E+19
BIBLIOTECA,Queensboro Hill,Main Street,4.07E+20,-7.38E+20
BIBLIOTECA,Queensbridge Now a Family Literacy Center,41 Avenue,4.08E+21,-7.39E+20
BIBLIOTECA,Ravenswood Now a Family Literacy Center,21 Street,40.8E+19,-7.39E+20
BIBLIOTECA,Rego Park,63 Drive,4.07E+20,-7.39E+20
BIBLIOTECA,Richmond Hill,Hillside Avenue,4.07E+20,-7.38E+20
BIBLIOTECA,Ridgewood,Madison Street,4.07E+20,-7.39E+20
BIBLIOTECA,Rochdale Village,137 Avenue,4.07E+20,-737705902160538
BIBLIOTECA,Rosedale,243 Street,40659963623126,-7.37E+20
BIBLIOTECA,Seaside,Rockaway Beach Boulevard,4.06E+20,-7.38E+20
BIBLIOTECA,South Hollis,Hollis Avenue,4.07E+20,-7.38E+20
BIBLIOTECA,South Jamaica,Guy R. Brewer Boulevard,4.07E+21,-7.38E+20
BIBLIOTECA,South Ozone Park,Rockaway Boulevard,4.07E+21,-7.38E+20
BIBLIOTECA,St.Albans,Linden Boulevard,4.07E+20,-7.38E+20
BIBLIOTECA,Steinway,31 Street,40.8E+19,-7.39E+20
BIBLIOTECA,Sunnyside,Greenpoint Avenue,40.7408466968306,-739216680312544
BIBLIOTECA,Whitestone,14 Road,40.8E+19,-7.38E+20
BIBLIOTECA,Windsor Park,Bell Boulevard,4.07E+20,-737556194209342
BIBLIOTECA,Woodhaven,Forest Parkway,4.07E+20,-7.39E+20
BIBLIOTECA,Woodside,Skillman Avenue,4.07E+21,-739097937387323
